user_id,products,reviews
3021825,66,2
3045563,294,2
3048023,275,0
3050495,131,0
3067165,198,1
3074036,150,1
3079359,494,1
3079720,264,1
3082206,174,1
3084817,306,10
3087877,68,1
3094970,235,0
3100771,111,7
3103360,287,2
3106416,680,42
3107058,554,1
3111141,37,1
3111453,302,2
3113200,69,1
3117559,22,2
3121355,436,2
3130381,769,1
3132303,89,14
3135030,178,12
3137172,158,1
3145012,407,6
3151431,354,2
3154876,466,6
3161817,226,2
3164494,231,3
3166021,193,2
3168888,808,1
3183952,64,1
3186488,81,1
3194112,330,1
3194987,392,1
3201061,399,1
3204647,215,1
3205318,244,0
3212073,103,2
3217972,388,1
3220836,122,1
3230614,155,1
3239401,215,1
3255329,171,1
3257242,210,4
3262127,341,1
3267909,332,11
3268607,109,3
3278910,54,1
3285136,10,2
3285876,112,1
3292072,166,3
3301833,33,0
3302105,307,3
3302816,74,1
3304991,246,2
3307248,6,1
3307918,535,1
3308977,103,0
3327940,260,2
3339410,36,1
3350467,326,1
3362714,91,1
3363842,539,3
3370200,222,2
3371234,537,3
3379053,732,3
3379083,227,1
3389824,116,5
3401170,254,1
3406262,154,1
3410291,257,28
3424680,202,10
3431365,687,2
3433531,191,2
3437351,777,2
3439810,124,4
3441744,970,1
3457254,15,1
3485834,3096,10
3488238,953,1
3506227,427,1
3513985,510,5
